symbol,broker_name
AUD/CAD,AUDCAD
AUD/CHF,AUDCHF
AUD/JPY,AUDJPY
AUD/NZD,AUDNZD
AUD/USD,AUDUSD
CAD/CHF,CADCHF
CAD/JPY,CADJPY
CHF/JPY,CHFJPY
EUR/AUD,EURAUD
EUR/CAD,EURCAD
EUR/CHF,EURCHF
EUR/CZK,EURCZK
EUR/GBP,EURGBP
EUR/HUF,EURHUF
EUR/JPY,EURJPY
EUR/NOK,EURNOK
EUR/NZD,EURNZD
EUR/USD,EURUSD
GBP/AUD,GBPAUD
GBP/CAD,GBPCAD
GBP/CHF,GBPCHF
GBP/JPY,GBPJPY
GBP/NZD,GBPNZD
GBP/USD,GBPUSD
NZD/CAD,NZDCAD
NZD/CHF,NZDCHF
NZD/JPY,NZDJPY
NZD/USD,NZDUSD
USD/CAD,USDCAD
USD/CHF,USDCHF
USD/HUF,USDHUF
USD/JPY,USDJPY
USD/MXN,USDMXN
USD/SEK,USDSEK
USD/TRY,USDTRY
USD/ZAR,USDZAR
XAU/USD,XAUUSD
XAG/USD,XAGUSD
XPD/USD,XPDUSD
XPT/USD,XPTUSD
DJ30,US30
USTEC.v,USTEC
US500,US500
DE30.v,GER30
UK100.v,UK100
JPN225.v,JPN225
F40.v,FRA40
AAPL.OQ,AAPL
MSFT.OQ,MSFT
NVDA.OQ,NVDA
TSLA.OQ,TSLA
NFLX.OQ,NFLX
